date,open,high,low,close,adj_close,open_adj,high_adj,low_adj,volume
2015-01-02,206.3800048828125,206.8800048828125,204.17999267578125,205.42999267578125,169.6878662109375,170.47258874432092,170.88559529706598,168.65534982907482,121465900
2015-01-05,204.1699981689453,204.3699951171875,201.35000610351562,201.72000122070312,166.6233673095703,168.647096929558,168.8122970325031,166.31774648892383,169632600
2015-01-06,202.08999633789062,202.72000122070312,198.86000061035156,199.82000732421875,165.0539093017578,166.92894957322903,167.44934175106874,164.2609313452381,209151400
2015-01-07,201.4199981689453,202.72000122070312,200.8800048828125,202.30999755859375,167.1107177734375,166.3755665766757,167.44938618869952,165.92952502298357,125346700
2015-01-08,204.00999450683594,206.16000366210938,203.99000549316406,205.89999389648438,170.07603454589844,168.51487082072038,170.2908059455661,168.49835963917315,147217800
2015-01-09,206.39999389648438,206.4199981689453,203.50999450683594,204.25,168.713134765625,170.48905745841736,170.5055812455194,168.10188068241575,158567300
2015-01-12,204.41000366210938,204.60000610351562,201.9199981689453,202.64999389648438,167.3915252685547,168.8453161791333,169.00226066188512,166.7885393225758,144396100
2015-01-13,204.1199951171875,205.47999572753906,200.50999450683594,202.0800018310547,166.92071533203125,168.60577637472915,169.72915460451395,165.62386881945937,214553300
2015-01-14,199.64999389648438,201.10000610351562,198.57000732421875,200.86000061035156,165.9129180908203,164.91343713793196,166.11116568420712,164.02135447757647,192991100
2015-01-15,201.6300048828125,202.00999450683594,198.8800048828125,199.02000427246094,164.3931427001953,166.54903755284403,166.86291398308043,164.277501361906,176613900
2015-01-16,198.77000427246094,201.82000732421875,198.5500030517578,201.6300048828125,166.5489959716797,164.18659841874955,166.70594044959492,164.00487456052744,211879600
2015-01-20,202.39999389648438,202.72000122070312,200.1699981689453,202.05999755859375,166.9041748046875,167.18501618298058,167.44934637710867,165.34301083199585,130991100
2015-01-21,201.5,203.66000366210938,200.94000244140625,203.0800018310547,167.74668884277344,166.4415870447863,168.22577780182866,165.9790218716173,122942700
2015-01-22,203.99000549316406,206.25999450683594,202.3300018310547,206.10000610351562,170.24124145507812,168.49835395998116,170.3733939227786,167.12716970045457,174356000
2015-01-23,205.7899932861328,206.10000610351562,204.80999755859375,204.97000122070312,169.30787658691406,169.98520065672528,170.24127526039032,169.17571148901422,117516800
2015-01-26,204.7100067138672,205.55999755859375,203.85000610351562,205.4499969482422,169.70437622070312,169.09313463881273,169.79523815908667,168.3827629216211,92009700
2015-01-27,202.97000122070312,204.1199951171875,201.74000549316406,202.74000549316406,167.46588134765625,167.6558608098982,168.60577072506626,166.63986834178553,134044600
2015-01-28,204.1699981689453,204.2899932861328,199.91000366210938,200.13999938964844,165.31825256347656,168.64708417164115,168.74620170511815,165.12827308965936,168514300
2015-01-29,200.3800048828125,202.3000030517578,198.67999267578125,201.99000549316406,166.84632873535156,165.5164476333486,167.1023906847634,164.11221580090753,173585400
