date,open,high,low,close,adj_close,open_adj,high_adj,low_adj,volume
2015-01-02,103.76000213623047,104.19999694824219,102.44000244140625,102.94000244140625,94.56114196777344,95.31439731765494,95.71857849986742,94.10183975422629,31314600
2015-01-05,102.48999786376953,102.61000061035156,101.13999938964844,101.43000030517578,93.17407989501953,94.14779868547387,94.2580337782868,92.90768367702016,36521300
2015-01-06,101.58000183105469,101.75,99.62000274658203,100.06999969482422,91.92475891113281,93.31185377224593,93.46801486691254,91.51138965856902,66205500
2015-01-07,100.7300033569336,101.5999984741211,100.48999786376953,101.36000061035156,93.10975646972656,92.53103813419852,93.33021959634728,92.31056799918137,37577400
2015-01-08,102.22000122070312,103.5,102.11000061035156,103.30000305175781,94.8918685913086,93.89977383038719,95.07558672848766,93.7987267524194,40212600
2015-01-09,103.62000274658203,103.6500015258789,102.0199966430664,102.62000274658203,94.2672119140625,95.18581656608977,95.21337358430702,93.71604351612828,41410100
2015-01-12,102.81999969482422,102.93000030517578,101.29000091552734,101.55000305175781,93.28428649902344,94.45091108931737,94.55195814143683,93.0454473750687,34129800
2015-01-13,102.54000091552734,103.62000274658203,100.69999694824219,101.5199966430664,93.2567367553711,94.1937173805841,95.18581203961072,92.50348125686503,56162300
2015-01-14,100.5,101.4800033569336,100.06999969482422,100.95999908447266,92.74230194091797,92.31974474627086,93.21998016679423,91.92474456304055,51354200
2015-01-15,101.43000030517578,101.58999633789062,99.52999877929688,99.6500015258789,91.53895568847656,93.17407086046464,93.32104396156602,91.4287206063525,51005400
2015-01-16,99.5199966430664,100.94999694824219,99.36000061035156,100.81999969482422,92.61370849609375,91.41951980293796,92.73312456205078,91.27254672240595,35362200
2015-01-20,101.43000030517578,101.87999725341797,100.29000091552734,101.62000274658203,93.34857940673828,93.17404233224796,93.58741149895161,92.12683390209655,30964100
2015-01-21,101.31999969482422,102.62000274658203,100.95999908447266,102.13999938964844,93.82625579833984,93.0730004470486,94.26718900786439,92.74230229200408,40128800
2015-01-22,102.54000091552734,104.13999938964844,101.63999938964844,104.02999877929688,95.56239318847656,94.19367490165224,95.66344021049652,93.36692972530427,40887200
2015-01-23,104.0199966430664,104.58000183105469,103.72000122070312,104.26000213623047,95.77371978759766,95.55324963242018,96.06767298610389,95.27767245104394,34783000
2015-01-26,104.13999938964844,104.33000183105469,103.61000061035156,104.13999938964844,95.6634521484375,95.6634521484375,95.8379892097788,95.1765929861641,19960900
2015-01-27,102.5,102.55999755859375,101.0999984741211,101.44000244140625,93.1832275390625,94.15694590771442,94.21205992604716,92.87089841558858,45253200
2015-01-28,103.06999969482422,103.18000030517578,100.9000015258789,100.91999816894531,92.7055435180664,94.68054414864122,94.78159118148885,92.68717451590982,43591700
2015-01-29,100.83999633789062,102.08000183105469,99.95999908447266,101.88999938964844,93.59661102294922,92.63207350408581,93.77114811891782,91.82370407506613,46539700
2015-01-30,101.80000305175781,102.58000183105469,100.95999908447266,101.0999984741211,92.87090301513672,93.51393029724387,94.2304406046357,92.74229896039436,42927600
2015-02-02,101.33000183105469,102.06999969482422,99.75,101.9800033569336,93.67930603027344,93.08221160138004,93.76197708539542,91.63081456090622,43624700
2015-02-03,102.3499984741211,103.02999877929688,101.68000030517578,102.95999908447266,94.57951354980469,94.01916427333664,94.64381558111762,93.40370097242774,30750400
2015-02-04,102.54000091552734,103.55000305175781,102.30999755859375,102.87000274658203,94.49684143066406,94.1937002829203,95.12149273128955,93.98241817765764,34073200
2015-02-05,103.12999725341797,103.83000183105469,102.87000274658203,103.76000213623047,95.31442260742188,94.73569717942613,95.3787246540439,94.49686501105712,23605500
2015-02-06,103.91999816894531,104.16999816894531,102.76000213623047,103.12999725341797,94.73567962646484,95.46137802296637,95.6910291481227,94.39580044660703,34169300
2015-02-09,102.7300033569336,103.29000091552734,102.55000305175781,102.80000305175781,94.43254089355469,94.3682388619614,94.88265511470772,94.20288977952211,22604700
2015-02-10,103.37000274658203,104.54000091552734,103.20999908447266,104.4000015258789,95.90229797363281,94.95613659048263,96.03090202522245,94.80915652672581,23686500
2015-02-11,104.5199966430664,105.0199966430664,104.31999969482422,104.77999877929688,96.25135803222656,96.01251895038828,96.47182110324937,95.82880089260172,20303600
2015-02-12,105.45999908447266,106.04000091552734,105.30000305175781,106.0,97.37206268310547,96.87601548503318,97.40880769871028,96.72904243100905,22520300
2015-02-13,106.30000305175781,106.93000030517578,106.0999984741211,106.91000366210938,98.20799255371094,97.64764335020233,98.22636155666758,97.46391827866147,29030200
2015-02-17,106.91000366210938,107.08000183105469,106.63999938964844,107.01000213623047,98.29988861083984,98.20802954466728,98.36419065800038,97.96000235676412,17675300
2015-02-18,106.87999725341797,107.22000122070312,106.73999786376953,107.16000366210938,98.43765258789062,98.18043746434455,98.49276661016704,98.05183340676926,15149600
2015-02-19,107.08999633789062,107.76000213623047,107.05999755859375,107.69000244140625,98.924560546875,98.37339201896991,98.98886260734406,98.34583499425445,19828100
2015-02-20,107.62000274658203,108.47000122070312,107.27999877929688,108.41000366210938,99.5859146118164,98.86021623473518,99.64102863769226,98.54788706851477,28336700
2015-02-23,108.3499984741211,108.55000305175781,108.11000061035156,108.5199966430664,99.68692779541016,99.53076675857615,99.71449180931681,99.31030370608144,17868000
2015-02-24,108.37999725341797,108.7300033569336,108.05000305175781,108.5999984741211,99.76045227050781,99.5583581490918,99.87987534683354,99.25522397536429,19745000
2015-02-25,108.44000244140625,108.86000061035156,108.08999633789062,108.33000183105469,99.51242065429688,99.61346770335541,99.99927988609036,99.29195054268061,19472300
2015-02-26,108.44000244140625,108.94000244140625,108.13999938964844,108.87999725341797,100.01765441894531,99.61347320876865,100.07277545409364,99.33788905821524,22255500
2015-02-27,108.83999633789062,108.91000366210938,108.2300033569336,108.4000015258789,99.57673645019531,99.9809176939076,100.04522674164917,99.4205753558429,27757600
2015-03-02,108.61000061035156,109.41999816894531,108.58999633789062,109.37999725341797,100.4769515991211,99.76962926067176,100.51369661790227,99.75125324708331,22988600
2015-03-03,109.05000305175781,109.16000366210938,108.18000030517578,108.87000274658203,100.00846099853516,100.17381006665082,100.27485710874345,99.37462173602593,20788900
2015-03-04,108.51000213623047,108.66999816894531,107.86000061035156,108.44999694824219,99.62267303466797,99.67779408023327,99.82476718214679,99.0806996467906,21007400
2015-03-05,108.7300033569336,108.97000122070312,108.19000244140625,108.63999938964844,99.79721069335938,99.87988875794754,100.1003519161869,99.38384139561089,15381000
2015-03-06,108.5,108.70999908447266,107.13999938964844,107.41000366210938,98.66730499267578,99.6685804553401,99.86148654424619,98.4192778723711,30990400
2015-03-09,107.62999725341797,107.98999786376953,107.19000244140625,107.72000122070312,98.95206451416016,98.86938647594621,99.20008461201157,98.46520531617371,26237100
2015-03-10,106.94999694824219,106.9800033569336,105.72000122070312,105.72000122070312,97.11486053466797,98.24474004808971,98.27230406777912,97.11486053466797,34234500
2015-03-11,105.87999725341797,106.01000213623047,105.06999969482422,105.11000061035156,96.55451965332031,97.26184203534135,97.38126510583565,96.5177746322756,25459700
2015-03-12,105.02999877929688,105.91999816894531,104.95999908447266,105.80000305175781,97.1883544921875,96.48102513458981,97.29858254181094,96.41672310284419,21473200
2015-03-13,105.69999694824219,106.12000274658203,104.68000030517578,105.33999633789062,96.76580047607422,97.09649867660201,97.48231791614882,96.15952511403766,42021100
2015-03-16,105.7300033569336,106.73999786376953,105.62000274658203,106.69999694824219,98.0151138305664,97.1240732027663,98.05185885775363,97.02302613010077,25674100
2015-03-17,106.41000366210938,107.04000091552734,106.16000366210938,106.87000274658203,98.1712875366211,97.74873021250994,98.32744865475827,97.5190790358149,19603800
2015-03-18,106.58000183105469,108.41000366210938,106.02999877929688,107.91999816894531,99.13580322265625,97.9048764664841,99.58592450668635,97.39964115110199,40622200
2015-03-19,108.02999877929688,108.37999725341797,107.87000274658203,108.08000183105469,99.28276062011719,99.23682759889364,99.55833772227325,99.08985454608941,31314000
2015-03-20,108.72000122070312,109.06999969482422,108.51000213623047,108.52999877929688,99.92543029785156,100.10036880267704,100.42261839747583,99.90701904579777,31761400
2015-03-23,108.47000122070312,108.7699966430664,108.27999877929688,108.31999969482422,99.73210144042969,99.87021044557483,100.14642143134931,99.69527190408992,17268500
2015-03-24,108.30999755859375,108.80999755859375,107.91000366210938,107.93000030517578,99.37301635742188,99.72288639515844,100.18324503537173,99.3546051026001,22445300
2015-03-25,108.0999984741211,108.19999694824219,105.41999816894531,105.45999908447266,97.09884643554688,99.52953956612508,99.62160989199997,97.0620169002938,41581400
2015-03-26,104.58999633789062,105.69999694824219,104.23999786376953,105.0999984741211,96.76736450195312,96.29779682041276,97.31979334961089,95.97554724465523,47846300
2015-03-27,105.08000183105469,105.7699966430664,104.91999816894531,105.5199966430664,97.15404510498047,96.74893444186378,97.38422433213117,96.60161636472131,33878400
2015-03-30,106.16000366210938,106.81999969482422,106.16000366210938,106.7300033569336,98.26813507080078,97.74332662669364,98.35099623457435,97.74332662669364,30570200
2015-03-31,106.43000030517578,106.6500015258789,105.56999969482422,105.5999984741211,97.22773742675781,97.99193440838268,98.19449332153769,97.20011703396666,30488100
2015-04-01,105.5999984741211,105.62000274658203,104.37000274658203,105.05000305175781,96.7213363647461,97.22772656655562,97.24614484270238,96.09524844152509,32970500
2015-04-02,105.1500015258789,105.45999908447266,104.77999877929688,105.12000274658203,96.78578186035156,96.81340224879565,97.09882229540302,96.47273440078625,19164200
2015-04-06,104.5,106.2699966430664,104.33999633789062,105.9800033569336,97.57762908935547,96.21496430317418,97.8446309426897,96.06764615352604,24451100
2015-04-07,105.91999816894531,106.69999694824219,105.80000305175781,105.80000305175781,97.4118881225586,97.52236969716691,98.2405280301816,97.4118881225586,19379400
2015-04-08,105.83999633789062,106.79000091552734,105.83000183105469,106.63999938964844,98.18525695800781,97.44868057340915,98.32336590818419,97.43947846137358,25866900
2015-04-09,106.58999633789062,107.3499984741211,106.2300033569336,107.30999755859375,98.80216217041016,98.1392446511738,98.8389917019805,97.8077929160705,23114700
2015-04-10,107.2699966430664,107.76000213623047,107.02999877929688,107.75,99.20726776123047,98.76532046139195,99.21647689911632,98.5443503237297,17164300
